title,artist,filename,genre
Fuego Caliente,M.I.K.E.,M.I.K.E. - Fuego Caliente.mp3,"progressive trance, hard trance, trance, progressive house, hard house"
Damisela Encantadora,Percy Faith & His Orchestra,Percy Faith & His Orchestra - Damisela Encantadora.mp3,"orchestra, show tunes, easy listening, bossa nova, oldies"
Volcán,Kalimba,Kalimba - Volcán.mp3,"death core, hardstyle, brutal death metal, grindcore, funk"
Village Attack/ The Arrest (Heaven And Earth/Soundtrack Version),Kitaro,Kitaro - Village Attack_ The Arrest (Heaven And Earth_Soundtrack Version).mp3,"chill-out, symphonic rock, new age, ambient, electronic"
Here Comes the Hotstepper (Heartical Mix),Ini Kamoze,Ini Kamoze - Here Comes the Hotstepper (Heartical Mix).mp3,"dancehall, reggae, roots reggae, r&b, dub"
The Joe's Mobilize,Alan Silvestri,Alan Silvestri - The Joe's Mobilize.mp3,"country rock, soundtrack, pop rock, ballad, disco"
(I Heard That Lonesome Whistle,Bobby Darin,Bobby Darin - (I Heard That Lonesome Whistle.mp3,"brill building pop, folk rock, folk-pop, vocal jazz, easy listening"
If I Ruled The World (Album Version),Regina Belle,Regina Belle - If I Ruled The World (Album Version).mp3,"vocal jazz, neo soul, nu-soul, r&b, smooth jazz"
The Thrill Is Gone,Jude Taylor & His Burning Flames,Jude Taylor & His Burning Flames - The Thrill Is Gone.mp3,"zydeco, comedy, cajun"
The Sweetest Curse,Baroness,Baroness - The Sweetest Curse.mp3,"sludge metal, post-hardcore, alternative metal, progressive metal, heavy metal"
The Sweep,Two Man Advantage,Two Man Advantage - The Sweep.mp3,"thrash core, hardcore punk, ska, punk, hardcore"
Very Well,Wailing Souls,Wailing Souls - Very Well.mp3,"roots reggae, reggae, dancehall, dub, lovers rock"
Closing Scene,The Radio Dept.,The Radio Dept. - Closing Scene.mp3,"shoegaze, dream pop, indie rock, indie pop, pop"
Lesson Learned,Alice In Chains,Alice In Chains - Lesson Learned.mp3,"grunge, alternative metal, heavy metal, hard rock, alternative rock"
Hit The Lights (Remastered),Metallica,Metallica - Hit The Lights (Remastered).mp3,"speed metal, hard rock, heavy metal, thrash metal, rock"
I Got To Quit My Baby,Sunnyland Slim,Sunnyland Slim - I Got To Quit My Baby.mp3,"piano blues, chicago blues, delta blues, blues, blues-rock"
Talk Like Pop,Melt-Banana,Melt-Banana - Talk Like Pop.mp3,"noise rock, hard rock, j pop, no wave, noise pop"
Get It For Free,Mötley Crüe,Mötley Crüe - Get It For Free.mp3,"heavy metal, hard rock, hair metal, glam metal, pop metal"
Can't Shake That Girl,The Real Kids,The Real Kids - Can't Shake That Girl.mp3,"power pop, garage rock, pop rock, rock, punk"
Canción para Mi Muerte,Sui Generis,Sui Generis - Canción para Mi Muerte.mp3,"cumbia, folk rock, tech house, dub, reggae"
Marca de Amor Não Sai,Sylvia Patricia,Sylvia Patricia - Marca de Amor Não Sai.mp3,"bossa nova, future jazz, deep house, downtempo, easy listening"
We're Back (Album Version Explicit),DMX,DMX - We're Back (Album Version Explicit).mp3,"hip hop, rap, hardcore rap, east coast rap, gangster rap"
Don't Tell Me,T-Bone,T-Bone - Don't Tell Me.mp3,"ccm, gangster rap, christian hip hop, hard trance, progressive trance"
You Can Always Come Home,Commissioned,Commissioned - You Can Always Come Home.mp3,"ccm, urban, soul jazz, jazz, contemporary gospel"
Es Dificil,De La Ghetto,De La Ghetto - Es Dificil.mp3,"reggaeton, hip hop, reggae, male vocalist, los angeles"
Still There For Me (Album Version),Keb' Mo',Keb' Mo' - Still There For Me (Album Version).mp3,"blues, piano blues, soul jazz, blues-rock, delta blues"
La Vida En Rosa,S. Solis y Orquesta,S. Solis y Orquesta - La Vida En Rosa.mp3,"musette, tango, easy listening, lounge, accordion"
The Cookie Bakers Of The Night,The Laurie Berkner Band,The Laurie Berkner Band - The Cookie Bakers Of The Night.mp3,"death core, hardstyle, bossa nova, speed metal, brutal death metal"
If You Love Me (Album Version),Becky Baeling,Becky Baeling - If You Love Me (Album Version).mp3,"dance pop, eurodance, europop, disco house, techno"
Crying Time,Commander Cody And His Lost Planet Airmen,Commander Cody And His Lost Planet Airmen - Crying Time.mp3,"country rock, western swing, southern rock, roots rock, rockabilly"
Whip It,DJ Slugo,DJ Slugo - Whip It.mp3,"bass music, techno, electro, tech house, ghetto tech"
Little Bitty Pretty One,Dee Clark,Dee Clark - Little Bitty Pretty One.mp3,"doo-wop, blues-rock, german pop, disco, ballad"
Citizen of the Planet,Simon & Garfunkel,Simon & Garfunkel - Citizen of the Planet.mp3,"folk-pop, folk rock, soft rock, classic rock, singer-songwriter"
Shooting Stars,Cauterize,Cauterize - Shooting Stars.mp3,"pop punk, skate punk, piano rock, post-grunge, melodic hardcore"
Un Tipo Como Yo,Willie Rosario,Willie Rosario - Un Tipo Como Yo.mp3,"salsa, charanga, latin jazz, boogaloo, mambo"
Feelings,SHY FX,SHY FX - Feelings.mp3,"uk garage, jungle music, ragga jungle, hip hop, dub"
Allein,WhyAsk!,WhyAsk! - Allein.mp3,"neue deutsche welle, progressive trance, trance, kraut rock, hard house"
"Everyone, Everywhere, Everytime",Greater Vision,"Greater Vision - Everyone, Everywhere, Everytime.mp3","ccm, southern gospel, gospel, christmas music, orchestra"
Something For The Pain (Album Version),Robben Ford,Robben Ford - Something For The Pain (Album Version).mp3,"blues-rock, jazz blues, soul blues, latin jazz, blues"
Have You Seen Her,The Red Telephone,The Red Telephone - Have You Seen Her.mp3,"power pop, indie rock, dream pop, alternative rock, rock"
Slave to the Wage,Placebo,Placebo - Slave to the Wage.mp3,"british pop, rock, alternative, indie, london"
The Blessing,Andrea Bocelli,Andrea Bocelli - The Blessing.mp3,"breakbeat, big beat, tribal house, progressive house, dub"
Imagination (Acer Mix),Hysterie,Hysterie - Imagination (Acer Mix).mp3,"tech house, hard trance, hip house, trance, hard house"
Skeletons (Live Acoustic Version),Rickie Lee Jones,Rickie Lee Jones - Skeletons (Live Acoustic Version).mp3,"folk rock, soft rock, trip hop, pop rock, singer-songwriter"
Love Me Now (Rockwilder Remix),Beenie Man,Beenie Man - Love Me Now (Rockwilder Remix).mp3,"dancehall, reggae, raga, hardcore, jamaica"
Flashflood,Aesop Rock,Aesop Rock - Flashflood.mp3,"underground rap, indie, alternative rap, rap, funk"
Soul Searcher,Joe Lynn Turner,Joe Lynn Turner - Soul Searcher.mp3,"hard rock, soft rock, neo classical metal, heavy metal, power metal"
"Wanted (Live From The Record Plant, Hollywood, CA /1994)",The Cranberries,"The Cranberries - Wanted (Live From The Record Plant, Hollywood, CA _1994).mp3","glam metal, southern rock, heavy metal, hard rock, classic rock"
Falling Bombs,Bigelf,Bigelf - Falling Bombs.mp3,"stoner rock, stoner metal, psychedelic rock, heavy metal, hard rock"
Canta Brasil,Gal Costa,Gal Costa - Canta Brasil.mp3,"brazilian pop music, tropical, bossa nova, samba, brazilian jazz"
This Is Not a Crass Song,Anti-Flag,Anti-Flag - This Is Not a Crass Song.mp3,"oi, hardcore punk, punk, rock, punk revival"
Eleanor Put Your Boots On,Franz Ferdinand,Franz Ferdinand - Eleanor Put Your Boots On.mp3,"art rock, indie rock, modern rock, dance rock, guitar"
El Niño De La Calle,Alfredo Gutierrez,Alfredo Gutierrez - El Niño De La Calle.mp3,"louisiana blues, merengue, jump blues, east coast blues, salsa"
Dark Water,Amy Lee,Amy Lee - Dark Water.mp3,"new age, contemporary instrumental, relax, piano, ambient"
Heute,Der Moderne Man,Der Moderne Man - Heute.mp3,"new wave, neue deutsche welle, kraut rock, rock, alternative rock"
Old Times Sake,Shelby Lynne,Shelby Lynne - Old Times Sake.mp3,"country rock, blues-rock, soul blues, roots rock, western swing"
Sally In the Garden,Kathy Mattea,Kathy Mattea - Sally In the Garden.mp3,"bluegrass, country rock, contemporary country, country, country pop"
Ass Attack (Four Tet Remix),Hot Chip,Hot Chip - Ass Attack (Four Tet Remix).mp3,"dance rock, electro, indie rock, electronica, rock"
Wa'ahila (Instrumental - Bonus Track),Ray Kāne,Ray Kāne - Wa'ahila (Instrumental - Bonus Track).mp3,"island music, slack key guitar, hawaiian, guitar, vocal"
Steamroller Blues (2019 Remaster),James Taylor,James Taylor - Steamroller Blues (2019 Remaster).mp3,"folk-pop, soft rock, folk rock, classic rock, singer-songwriter"
Seuraavassa elämässä,Kaija Koo,Kaija Koo - Seuraavassa elämässä.mp3,"humppa, german pop, pop rock, brutal death metal, finish"
Ja (Hanno's Poppersmonstermix),2raumwohnung,2raumwohnung - Ja (Hanno's Poppersmonstermix).mp3,"tech house, indie pop, electro, progressive house, dub"
Sous la Tour Eiffel (Extended Dance Mix),Taboo,Taboo - Sous la Tour Eiffel (Extended Dance Mix).mp3,"new beat, eurodance, jam band, europop, electroclash"
Bed Crumbs,Fudge Tunnel,Fudge Tunnel - Bed Crumbs.mp3,"sludge metal, math rock, grunge, heavy metal, alternative rock"
What'd I Say,Donnie Brooks,Donnie Brooks - What'd I Say.mp3,"oldies, rockabilly, disco, male vocalist, rock"
My Life Would Suck Without You,Kelly Clarkson,Kelly Clarkson - My Life Would Suck Without You.mp3,"teen pop, pop, adult contemporary, ballad, disco"
No More Blues (Chega de Saudade),Eliane Elias,Eliane Elias - No More Blues (Chega de Saudade).mp3,"brazilian jazz, latin jazz, hard bop, jazz funk, vocal jazz"
Whatever's Cool with Me (LP Version),Dinosaur Jr.,Dinosaur Jr. - Whatever's Cool with Me (LP Version).mp3,"indie rock, rock, alternative, american underground, modern rock"
Winter (Four Seasons),Ulytau,Ulytau - Winter (Four Seasons).mp3,"folk metal, neo classical metal, instrumental rock, folk rock, easy listening"
J'l'ai pas dit,Edgar Bori,Edgar Bori - J'l'ai pas dit.mp3,"los angeles, chanson francaise, montreal, rock, house"
The Majesty Of Rock (2025 Remaster),Spinal Tap,Spinal Tap - The Majesty Of Rock (2025 Remaster).mp3,"parody, hard rock, psychedelic rock, pop rock, heavy metal"
Strange Thing (2001 Remastered Version),Buzzcocks,Buzzcocks - Strange Thing (2001 Remastered Version).mp3,"new wave, punk, rock, pop, british"
Sometimes,Tanto Metro & Devonte,Tanto Metro & Devonte - Sometimes.mp3,"dancehall, reggae, hip hop, rap, caribbean"
Creeper Kamikaze,The Exies,The Exies - Creeper Kamikaze.mp3,"post-grunge, modern rock, chill-out, los angeles, alternative metal"
Hallelujah,The Nelons,The Nelons - Hallelujah.mp3,"ccm, southern gospel, country gospel, spiritual, gospel"
Error,Babylon Disco,Babylon Disco - Error.mp3,"breakcore, rhythm noise, broken beat, glitch, speedcore"
Journey to Love,Stanley Clarke,Stanley Clarke - Journey to Love.mp3,"jazz funk, smooth jazz, soul jazz, quiet storm, jazz"
Alguna Vez,La Portuaria,La Portuaria - Alguna Vez.mp3,"disco, pop rock, soundtrack, funk, rock"
Blaue Matrosen (Live Zürich 19. März 1983),Der Moderne Man,Der Moderne Man - Blaue Matrosen (Live Zürich 19. März 1983).mp3,"new wave, neue deutsche welle, kraut rock, rock, alternative rock"
I Live to Be Hated,Gg Allin,Gg Allin - I Live to Be Hated.mp3,"shock rock, straight edge, horror punk, hardcore punk, oi"
Rotting Fumes,Hemdale,Hemdale - Rotting Fumes.mp3,"grindcore, gore metal, goregrind, death metal, rock"
The Story of an Artist,Daniel Johnston,Daniel Johnston - The Story of an Artist.mp3,"power pop, pop rock, soundtrack, progressive rock, alternative"
Murder One,Bone Thugs-N-Harmony,Bone Thugs-N-Harmony - Murder One.mp3,"gangster rap, rap, hardcore rap, west coast rap, cleveland"
I Destructor (Lenny Dee Mix),Ultraviolence,Ultraviolence - I Destructor (Lenny Dee Mix).mp3,"gabba, happy hardcore, hardcore techno, hard trance, techno"
Ma Rainey's black bottom (2022 Remastered Version),Ma Rainey,Ma Rainey - Ma Rainey's black bottom (2022 Remastered Version).mp3,"classic female blues, jug band, blues, piedmont blues, ragtime"
I'm Just Wonderin' Part 2,Jimmy Witherspoon,Jimmy Witherspoon - I'm Just Wonderin' Part 2.mp3,"jazz blues, jump blues, texas blues, chicago blues, blues"
Ju Ju,String Trio Of New York,String Trio Of New York - Ju Ju.mp3,"chamber jazz, jazz, avant-garde, post-bop, emusic"
Chariots Of Fire,Dino,Dino - Chariots Of Fire.mp3,"ccm, dance pop, kizomba, freestyle, smooth jazz"
Segredo,João Gilberto,João Gilberto - Segredo.mp3,"brazilian jazz, bossa nova, tropical, latin jazz, samba"
It's Not Me,3 Doors Down,3 Doors Down - It's Not Me.mp3,"post-grunge, alternative metal, heavy metal, rock, alternative"
Sajana,Niraj Chag Featuring Faheem Mazhar,Niraj Chag Featuring Faheem Mazhar - Sajana.mp3,"trip hop, jungle music, chill-out, downtempo, indian classical"
Ad Te Clamamus Exsvles Mortva Liberi,Enthroned,Enthroned - Ad Te Clamamus Exsvles Mortva Liberi.mp3,"black metal, heavy metal, rock, blackened death metal, extreme metal"
Danny Boy,Hank Locklin,Hank Locklin - Danny Boy.mp3,"honky tonk, country rock, ballad, chanson, classic country"
Deep Sea Creature,Mastodon,Mastodon - Deep Sea Creature.mp3,"alternative metal, power metal, post-hardcore, progressive metal, heavy metal"
Råskevärsrock,Bröderna Djup,Bröderna Djup - Råskevärsrock.mp3,"folk, swedish"
Lullaby,Seamus Egan,Seamus Egan - Lullaby.mp3,"irish folk, celtic, traditional, folk, irish"
"Dance, Gypsy, Dance",Arthur Tracy,"Arthur Tracy - Dance, Gypsy, Dance.mp3","vaudeville, russia, jazz, pop, american"
Poikamies (2009),Murskahumppa,Murskahumppa - Poikamies (2009).mp3,"suomi rock, humppa, hardcore punk, finish, punk"
Good Looking Girl Blues,Furry Lewis,Furry Lewis - Good Looking Girl Blues.mp3,"country blues, delta blues, piedmont blues, blues, memphis blues"
On My Feet Again,Utopia,Utopia - On My Feet Again.mp3,"new beat, pop rock, power pop, soft rock, goregrind"
Cajun Blood,Jo-El Sonnier,Jo-El Sonnier - Cajun Blood.mp3,"bluegrass, zydeco, americana, world music, cajun"
Theresa,Portable,Portable - Theresa.mp3,"post-grunge, tech house, techno, deep house, intelligent dance music"
Tell Me Why (Album Version),Dave Hollister,Dave Hollister - Tell Me Why (Album Version).mp3,"motown, r&b, urban, neo soul, chicago soul"
Love Me,Angelo Badalamenti,Angelo Badalamenti - Love Me.mp3,"chill-out, soundtrack, symphony, neoclassical, dark ambient"
Bedroom Acoustics,Muse,Muse - Bedroom Acoustics.mp3,"art rock, piano rock, indie pop, alternative rock, progressive rock"
Serve The Ego (Hani Num Dub),Jewel,Jewel - Serve The Ego (Hani Num Dub).mp3,"stoner metal, stoner rock, sludge metal, doomcore, doom metal"
Railroad Boogie,Pee Wee King,Pee Wee King - Railroad Boogie.mp3,"western swing, classic country, rockabilly, traditional country, cowboy"
I've Won (Introduction - Speaking) (Halleulujah Live Album Version),The Nelons,The Nelons - I've Won (Introduction - Speaking) (Halleulujah Live Album Version).mp3,"ccm, southern gospel, country gospel, spiritual, gospel"
Oh Lonesome Me,Don Gibson,Don Gibson - Oh Lonesome Me.mp3,"country rock, country blues, ballad, honky tonk, classic country"
Mudhump,C-Side & Petit Mal,C-Side & Petit Mal - Mudhump.mp3,"country rock, jazz funk, pop rap, hip hop, rap"
Sencillamente,Bersuit Vergarabat,Bersuit Vergarabat - Sencillamente.mp3,"cumbia, murga, rock 'n roll, argentine rock, quartet"
Trong Com (Heaven And Earth/Soundtrack Version),Kitaro,Kitaro - Trong Com (Heaven And Earth_Soundtrack Version).mp3,"chill-out, symphonic rock, new age, ambient, electronic"
Subterranean Homesick Alien,Radiohead,Radiohead - Subterranean Homesick Alien.mp3,"british pop, experimental rock, rock, england, indietronica"
Til The Victory's Won,Vanessa Bell Armstrong,Vanessa Bell Armstrong - Til The Victory's Won.mp3,"gospel, neo soul, funk, soul, electronic"
Bury Your Head (Album Version),Saosin,Saosin - Bury Your Head (Album Version).mp3,"alternative metal, screamo, heavy metal, rock, california"
American Journey: IV. Arts and Sports,John Williams,John Williams - American Journey_ IV. Arts and Sports.mp3,"soundtrack, blues, new york, original score, rock"
Jamboree (feat. Zhané),Naughty By Nature,Naughty By Nature - Jamboree (feat. Zhané).mp3,"gangster rap, rap, east coast rap, funk, classic"
Shuncata Penda,Pardesi Group,Pardesi Group - Shuncata Penda.mp3,"bhangra, desi, world music, world, indian"
Slamka Spasa,Reni,Reni - Slamka Spasa.mp3,"pop folk, bluegrass, chalga, brutal death metal, spiritual"
Hi Ho Silver (Remastered 2014) (Remastered 2014),Roy Rogers,Roy Rogers - Hi Ho Silver (Remastered 2014) (Remastered 2014).mp3,"western swing, country gospel, blues-rock, disco, classic country"
Big Guys Throw Cones,Our Time Down Here,Our Time Down Here - Big Guys Throw Cones.mp3,"hardcore punk, melodic hardcore, hardcore, british, european"
Chanson Réaliste,Acorps de rue,Acorps de rue - Chanson Réaliste.mp3,"musette, chanson, manouche, french, pop"
The President's Speech (Instrumental),James Horner,James Horner - The President's Speech (Instrumental).mp3,"rock, classical, los angeles, soundtrack, game"
Between Oceans,Eunike Tanzil,Eunike Tanzil - Between Oceans.mp3,"folk rock, rock, traditional, folk, los angeles"
Poppin' Them Thangs,G-Unit,G-Unit - Poppin' Them Thangs.mp3,"rap, hip hop, hardcore rap, east coast rap, queens"
Big Business,Dilated Peoples,Dilated Peoples - Big Business.mp3,"turnablism, hip hop, los angeles, alternative hip hop, chill-out"
Shadow,Warren Barfield,Warren Barfield - Shadow.mp3,"ccm, christian rock, soft rock, pop rock, rock"
Old Broom,Wailing Souls,Wailing Souls - Old Broom.mp3,"roots reggae, reggae, dancehall, dub, lovers rock"
Sailing (DJ Ostkurve Party Mix),Ostkurve,Ostkurve - Sailing (DJ Ostkurve Party Mix).mp3,"hard trance, happy hardcore, hard house, hardstyle, tech house"
Damien,DMX,DMX - Damien.mp3,"hip hop, rap, hardcore rap, east coast rap, gangster rap"
Monarchy Now,Falco,Falco - Monarchy Now.mp3,"dance pop, new wave, pop rock, pop rap, disco"
Drummer's Circle,Megadrums,Megadrums - Drummer's Circle.mp3,"world beat, world music, saxophone, world, fusion"
Kanaka 'o Mose,Leonard Kwan,Leonard Kwan - Kanaka 'o Mose.mp3,"slack key guitar, mondiovision, island music, electronic, pop"
Bo Diddley - Live,The Animals,The Animals - Bo Diddley - Live.mp3,"blues-rock, british invasion, british blues, rock, psychedelic"
I'm Not Done (Therapy Session),Fever Ray,Fever Ray - I'm Not Done (Therapy Session).mp3,"electronic, ambient, folk, electronic music, opera"
No Survivors,Speedball,Speedball - No Survivors.mp3,"speedcore, dubstep, breakcore, progressive house, dark ambient"
IGNIS,Lorkestra,Lorkestra - IGNIS.mp3,"stoner metal, stoner rock, sludge metal, doomcore, doom metal"
Kong,Justin Lo,Justin Lo - Kong.mp3,"future jazz, mambo, power pop, chinese music, breakbeat"
La Sitiera,Orquesta Broadway,Orquesta Broadway - La Sitiera.mp3,"charanga, salsa, tropical, latin, chant"
What Would You Do,Walter Jackson,Walter Jackson - What Would You Do.mp3,"northern soul, chicago soul, ballad, disco, jazz funk"
Gossamer,Charles Williams,Charles Williams - Gossamer.mp3,"latin jazz, free jazz, jazz, improvisational, funk"
Lotus Kiss,Alex Theory,Alex Theory - Lotus Kiss.mp3,"dub, ballad, chanson, trip hop, easy listening"
Post-Toxic Finger Disorder,Tim Exile,Tim Exile - Post-Toxic Finger Disorder.mp3,"breakcore, gabba, breakbeat, jungle music, dubstep"
Church Hangover (Album Version (Explicit)),George Lopez,George Lopez - Church Hangover (Album Version (Explicit)).mp3,"california, stand-up comedy, comedy, funny, spoken word"
Intro,Bizzy Bone,Bizzy Bone - Intro.mp3,"gangster rap, g funk, hip hop, rap, dirty south rap"
The Truth,I Like Trains,I Like Trains - The Truth.mp3,"8-bit, los angeles, electronic, chiptune"
It Must Be,David Martin,David Martin - It Must Be.mp3,"screamo, reggae, pop, singer-songwriter, death metal"
"I Got Stripes (Live at Folsom State Prison, Folsom, CA 2nd Show - January 1968)",Johnny Cash,"Johnny Cash - I Got Stripes (Live at Folsom State Prison, Folsom, CA 2nd Show - January 1968).mp3","honky tonk, country, rock, traditional country, rockabilly"
"Rockin' Every Night (Live From Shinjuku Kousei Nenkin Hall, Tokyo, Japan/1986)",Gary Moore,"Gary Moore - Rockin' Every Night (Live From Shinjuku Kousei Nenkin Hall, Tokyo, Japan_1986).mp3","blues-rock, hard rock, pop rock, soft rock, blues"
"When You're Hot, You're Hot (Remastered)",Jerry Reed,"Jerry Reed - When You're Hot, You're Hot (Remastered).mp3","country rock, rockabilly, classic country, southern rock, country"
Walk Away,Christina Aguilera,Christina Aguilera - Walk Away.mp3,"dance pop, teen pop, neo soul, r&b, ballad"
Going Home,Izzy,Izzy - Going Home.mp3,"opera, ballad, easy listening, female vocalist, classical"
"Two Little Fishes, Five Loaves Of Bread",Sister Rosetta Tharpe,"Sister Rosetta Tharpe - Two Little Fishes, Five Loaves Of Bread.mp3","religious music, country blues, jump blues, classic female blues, blues"
Irresistible! (Maurel & Fauvrelle LESS Mix),Superchumbo,Superchumbo - Irresistible! (Maurel & Fauvrelle LESS Mix).mp3,"progressive house, tribal house, tech house, hard house, deep house"
Pinini Reggae,Sumo,Sumo - Pinini Reggae.mp3,"gabba, alternative metal, electro, breakbeat, intelligent dance music"
Forever Consumed Oblivion,Goatwhore,Goatwhore - Forever Consumed Oblivion.mp3,"black metal, death metal, hardcore punk, heavy metal, blackened death metal"
The Greed of Our Stare,Hatesex,Hatesex - The Greed of Our Stare.mp3,"dark wave, gothic rock, hard trance, progressive house, rhythm noise"
Rio Grande Waltz,Hank Locklin,Hank Locklin - Rio Grande Waltz.mp3,"honky tonk, country rock, ballad, chanson, classic country"
Honey I Sugar Pie,Tanto Metro & Devonte,Tanto Metro & Devonte - Honey I Sugar Pie.mp3,"dancehall, reggae, hip hop, rap, caribbean"
El arte de amar,Gabinete Caligari,Gabinete Caligari - El arte de amar.mp3,"pop rock, rock, new wave, pop, electronic"
Talk Dem a Talk,Kiprich,Kiprich - Talk Dem a Talk.mp3,"dancehall, reggae, lovers rock, dub, raga"
La sangre de tu tristeza (con Dani Martín) (Directo Enjoy 07),Jaime Urrutia,Jaime Urrutia - La sangre de tu tristeza (con Dani Martín) (Directo Enjoy 07).mp3,"rockabilly, pop rock, singer-songwriter, rock, spanish"
Same Old Song (Live from RCA Studios 1972),Kris Kristofferson,Kris Kristofferson - Same Old Song (Live from RCA Studios 1972).mp3,"western swing, bluegrass, singer-songwriter, country, americana"
A Brazilian in New York,Luiz Bonfá,Luiz Bonfá - A Brazilian in New York.mp3,"samba, latin jazz, bossa nova, smooth jazz, jazz"
Her Golden Robe in Silence Veiled,Autumnblaze,Autumnblaze - Her Golden Robe in Silence Veiled.mp3,"doom metal, trip rock, neofolk, gothic rock, heavy metal"
Mais la vie,Maurane,Maurane - Mais la vie.mp3,"chanson, ballad, pop rock, italian disco, pop rap"
Acension Final Chord Rising,Terry Riley,Terry Riley - Acension Final Chord Rising.mp3,"free improvisation, cool jazz, minimal music, electronic, free jazz"
Phylyps Trak Ii/Ii,Basic Channel,Basic Channel - Phylyps Trak Ii_Ii.mp3,"techno, deep house, tech house, electronic, psychobilly"
Slimy Little Troll,Mack and Jamie,Mack and Jamie - Slimy Little Troll.mp3,"stand-up comedy, comedy, funny, spoken word, comedian"
Epilog,Neviss,Neviss - Epilog.mp3,"british pop, power pop, indie rock, indie pop, alternative rock"
Moon Going Down,Charley Patton,Charley Patton - Moon Going Down.mp3,"delta blues, blues, country blues, ragtime, bluegrass"
Ice Cream Man,Martin Sexton,Martin Sexton - Ice Cream Man.mp3,"blue-eyed soul, folk-pop, folk rock, singer-songwriter, soundtrack"
Get Up (feat. Chamillionaire) (Main Version),Ciara,Ciara - Get Up (feat. Chamillionaire) (Main Version).mp3,"honky tonk, smooth jazz, rockabilly, traditional country, country pop"
Raising Children,The Race,The Race - Raising Children.mp3,"dream pop, indie rock, post rock, indie, england"
Daughters of Zion,Winston Reedy,Winston Reedy - Daughters of Zion.mp3,"lovers rock, reggae, roots reggae, dub, orchestra"
Stand By Your Man,Tammy Wynette,Tammy Wynette - Stand By Your Man.mp3,"honky tonk, country rock, ballad, soft rock, chanson"
The Contracting Perception Of Consciousness,Rui Da Silva,Rui Da Silva - The Contracting Perception Of Consciousness.mp3,"progressive house, tech house, hard house, tribal house, progressive trance"
First Blood,Jerry Goldsmith,Jerry Goldsmith - First Blood.mp3,"soundtrack, easy listening, orchestra, chill-out, pop rock"
No Seamos Tontos,Yahir,Yahir - No Seamos Tontos.mp3,"brutal death metal, grindcore, emo, male vocalist, indie rock"
Everything You Touch Is a Song,The Winans,The Winans - Everything You Touch Is a Song.mp3,"ccm, new jack swing, disco, urban, downtempo"
Do You Ever Think Of Me,Gordon MacRae,Gordon MacRae - Do You Ever Think Of Me.mp3,"smooth jazz, easy listening, chanson, jazz, vocal"
Hero In A Dream,Ensiferum,Ensiferum - Hero In A Dream.mp3,"power metal, black metal, heavy metal, finish, metal"
Walk With Me (Remix),Angella Christie,Angella Christie - Walk With Me (Remix).mp3,"country gospel, smooth jazz, contemporary jazz, jazz, gospel"
Ni Gota De Rencor,Pablo Montero,Pablo Montero - Ni Gota De Rencor.mp3,"ranchera, mariachi, latin pop, brutal death metal, screamo"
De Bombacha Y Alpargatas,Chango Spasiuk,Chango Spasiuk - De Bombacha Y Alpargatas.mp3,"polka, jam band, tango, salsa, freak folk"
Maria,Papa Wemba,Papa Wemba - Maria.mp3,"soukous, afrobeat, congo, world beat, zouk"
(The Continuing Adventures of) The Girl About Town,Helen Love,Helen Love - (The Continuing Adventures of) The Girl About Town.mp3,"power pop, indie rock, alternative dance, synth punk, rock"
Come To Find Out,John Hammond,John Hammond - Come To Find Out.mp3,"blues, blues-rock, motown, chicago blues, rockabilly"
Everything's Gone,David Tao,David Tao - Everything's Gone.mp3,"chinese music, new jack swing, roots rock, r&b, ballad"
Mary Jane's Last Dance,Tom Petty And The Heartbreakers,Tom Petty And The Heartbreakers - Mary Jane's Last Dance.mp3,"heartland rock, jam band, pop rock, southern rock, hard rock"
56 Days,Pride Tiger,Pride Tiger - 56 Days.mp3,"hard rock, rock 'n roll, stoner rock, rock, indie rock"
My Greatest Desire,Faye Adams,Faye Adams - My Greatest Desire.mp3,"jump blues, east coast blues, piano blues, blues, r&b"
Victim Of Circumstance (Live),Ten Years After,Ten Years After - Victim Of Circumstance (Live).mp3,"blues-rock, british blues, hard rock, classic rock, electric blues"
Eu vi a maquina voadora,Silvério Pessoa,Silvério Pessoa - Eu vi a maquina voadora.mp3,"progressive trance, frevo, brazilian pop music, maracatu, world music"
The Flame,Chimaira,Chimaira - The Flame.mp3,"groove metal, alternative metal, nu metal, metalcore, heavy metal"
Heart Half Empty (Karaoke Version Originally Performed By Ty Herndon & Stephanie Bentley),Roq Star Karaoke,Roq Star Karaoke - Heart Half Empty (Karaoke Version Originally Performed By Ty Herndon & Stephanie Bentley).mp3,"country, folk, world, male vocalist, rock"
I Will Always Love You,Deborah Allen,Deborah Allen - I Will Always Love You.mp3,"country rock, countrypolitan, pop, female vocalist, country"
Murderous Style,X-Static,X-Static - Murderous Style.mp3,"happy hardcore, hard trance, deep house, trance, progressive house"
"Music Reach (1,2,3,4) (Remastered)",The Prodigy,"The Prodigy - Music Reach (1,2,3,4) (Remastered).mp3","hardcore techno, rave, hip hop, techno, rap"
The Truth Forever,The Master Musicians Of Jajouka,The Master Musicians Of Jajouka - The Truth Forever.mp3,"jungle music, breakbeat, trip hop, big beat, tribal house"
A French Touch (Live),Richard Galliano,Richard Galliano - A French Touch (Live).mp3,"tango, musette, chill-out, jazz, british pop"
Answer In The Question (Album Version),MxPx,MxPx - Answer In The Question (Album Version).mp3,"christian rock, pop punk, christian punk, punk, contemporary christian"
