Song,Genre,Cluster,Confidence,LogLikelihood,PCA1,PCA2
Bob Hope - Merry-Go-Runaround,jump blues,3,1.0,169.34906,-0.87503946,-0.4826117
Bob Margolin - Ice Or Fire,blues-rock,1,1.0,159.55229,0.71813107,-0.43165296
Bob Margolin - No Consolation,blues-rock,4,1.0,141.86517,-2.2977808,-1.7699376
Bob Margolin - You Rascal You,blues-rock,4,1.0,150.37323,-0.5419211,-1.4540229
Bob Margolin with Mike Sponza Band - Lost Again,blues-rock,4,1.0,156.87344,-1.0150417,1.3631856
Bob Marley & The Wailers - Corner Stone (Patchworks Remix),reggae,3,1.0,160.44455,1.4062226,-0.61902905
Bob Marley & The Wailers - Lively Up Yourself,reggae,3,1.0,152.52014,3.1762342,-2.5581725
Bob Marley & The Wailers - Memphis,reggae,3,0.9927329,145.90685,-0.18178916,-1.1303334
Bob Marley & The Wailers - Rainbow Country (Red Gold And Green Version),reggae,3,1.0,164.22615,1.025186,-0.020303888
Bob Marley & The Wailers - Small Axe,reggae,3,0.9999543,156.19455,3.7160795,-1.859025
Bob Marley & The Wailers - Smile Jamaica (Single Version),reggae,3,0.99998474,156.69406,3.8822424,-0.61975116
Bob Marley & The Wailers - Three Little Birds,reggae,3,0.9999695,157.33447,3.9764023,-0.98543435
Bob Neuwirth - Biding Her Time,singer-songwriter,3,1.0,156.54135,-2.335573,-1.0941494
Bob Neuwirth - Great Escape (Good Intentions),singer-songwriter,3,1.0,166.86078,-2.4400966,0.7476373
Bob Neuwirth - Turn It Around,singer-songwriter,3,1.0,168.77646,-0.3637083,0.9010133
Bob Willis - Sugar Blues,western swing,3,1.0,164.27747,-3.1337829,-1.0081009
Bob Wills & His Texas Playboys - My Window Faces the South,western swing,3,1.0,161.73273,-2.060103,-0.35588562
Bob Wills & His Texas Playboys - Playboy Theme,western swing,3,1.0,166.12572,0.90625983,-1.0020648
Bob Wills & His Texas Playboys - Yearning (Just For You),western swing,3,1.0,159.20456,-2.8236234,-1.0170234
Bob Wills - Bubbles In My Beer,western swing,3,1.0,161.68076,-0.19658045,-2.1779735
Bob Wills - Linda Lou,western swing,3,1.0,159.31659,-3.2828176,-1.476872
Bob Wills - Sittin' On Top Of The World,western swing,3,1.0,160.41016,-0.13997136,-1.9990973
Bob Wills and His Texas Playboys - Ida Red,western swing,3,1.0,157.41943,-2.4785626,-0.1669402
Bobaflex - Medicine,rap metal,3,1.0,173.44751,0.47191465,1.5680246
Bobaflex - Turn The Heat Up,rap metal,3,1.0,168.90274,1.2874029,1.5579513
Bobbie Gentry - Ace Insurance Man,country blues,3,1.0,158.68835,1.7843951,0.0017274137
Bobbie Gentry - Courtyard,country blues,3,1.0,149.90607,-2.0291505,-0.92911917
Bobbie Gentry - Miss Clara_Azusa Sue,country blues,3,1.0,164.86687,-1.398406,-0.4775044
Bobbie Gentry - Mornin' Glory,country blues,3,1.0,159.78976,-1.3205829,-0.2800542
Bobbie Gentry - Reunion,country blues,3,1.0,153.74332,1.1287594,-0.882161
Bobby Bland - Drifting From Town To Town,soul blues,3,1.0,155.80524,-2.5457814,-0.43099895
"Bobby Broom - Monday, Monday",soul jazz,3,1.0,151.53052,-1.3514056,0.10951574
Bobby Broom - Where Is The Love_,soul jazz,3,1.0,156.08632,-1.1851209,-0.66776484
Bobby Capo - La Luna Enamora - Original,latin jazz,4,1.0,141.44621,-2.5318413,-0.42757496
Bobby Darin - (I Heard That) Lonesome Whistle,brill building pop,3,1.0,169.52933,-1.1550646,-0.8523283
Bobby Darin - Hi De Ho (That Old Sweet Roll) (Live Remix),brill building pop,3,1.0,156.6583,0.6814677,-0.25192448
Bobby Darin - Moritat (Mack The Knife) (Live Remix),brill building pop,3,1.0,168.4531,-1.4341049,0.07929939
Bobby Hutcherson - Maiden Voyage (Rudy Van Gelder Edition; 2006 Digital Remaster),latin jazz,1,1.0,142.18784,-0.23105478,-0.08904023
Bobby Hutcherson - Recorda Me,latin jazz,1,1.0,138.68109,-0.36574677,0.38064206
Bobby Marchan - It Hurts Me to My Heart,doo-wop,3,1.0,166.26645,-1.0732793,0.918608
Bobby Pulido - Alma de Metal,tejano,3,1.0,159.58801,0.9739217,-0.29738542
Bobby Pulido - La Bruja Chafa,tejano,3,1.0,162.21394,3.2820508,0.36761388
Bobby Pulido - La Rosa (En Vivo),tejano,3,1.0,153.34602,0.25314552,1.1104668
Bobby Pulido - La Rosa,tejano,3,1.0,158.36063,0.24020274,0.48843688
Bobby Pulido - Mi Alma Esta Enamorada,tejano,3,1.0,165.1438,1.2706962,0.6552682
Bobby Pulido - Mi Corazón y Mi Mente,tejano,3,1.0,163.795,2.065424,0.8428348
Bobby Russell - Jingle Bell Rock,pop rock,4,0.9996186,147.62105,-2.1107843,-0.8471969
Bobby Valentin - Yo Soy Abacua,boogaloo,3,1.0,165.8395,0.2917278,-0.5864902
Bobby Vee - Anonymous Phone Call,brill building pop,3,1.0,170.9096,-0.67713517,-0.33560082
Bobby Vee - The Story Of My Life (2010 Remaster),brill building pop,3,1.0,169.53438,0.549213,0.23239973
Bobby Vee and the Vees - I Wouldn't Change A Thing,brill building pop,3,1.0,167.85028,-0.7133734,-1.0229555
Bobby Vee and the Vees - Wink of An Eye,brill building pop,3,1.0,173.01227,-0.3001304,-0.08679919
Bobby _Blue_ Bland - You Hit The Nail On The Head,soul blues,3,1.0,163.78265,0.4417243,-1.3854605
BoDeans - Back Then,roots rock,3,1.0,162.94794,-0.1403889,1.2749107
BoDeans - Lookin' for Me Somewhere,roots rock,3,1.0,155.32146,-0.5028306,-0.35059774
BoDeans - You Don't Get Much (Live),roots rock,3,1.0,161.19696,-1.460049,0.651442
Boegies - Dikke Tamme,heavy metal,3,1.0,166.9162,-0.52672565,2.0576172
Bomb Squad - Flipside,funk rock,3,1.0,155.4021,0.12356964,0.08254963
Bomb Squad - Never Be (Bonus Track),funk rock,3,0.91385084,144.08487,4.5422635,-1.0504265
Bombay Rockers - Rock Tha Party,bhangra,3,1.0,168.73358,2.4882927,0.03082531
Bombay Rockers - Wild Rose (Back 2 Basics Mix),bhangra,3,1.0,159.07123,3.8498404,-1.0255184
Bon Jovi - I Love This Town (Album Version),rock,3,1.0,160.90672,-0.7289102,2.333354
Bon Jovi - Only Lonely,rock,3,1.0,164.0611,-0.44043022,2.2789936
Bon Jovi - Raise Your Hands,rock,3,1.0,156.16089,-0.4404827,2.920663
Bon Jovi - The Distance,rock,3,1.0,166.50172,-0.5281058,1.6047108
Bon Jovi - The Radio Saved My Life Tonight,rock,3,1.0,167.6413,-0.010972913,2.3084252
Bon Jovi - This Ain't A Love Song,rock,3,1.0,164.47598,-0.9506068,1.2692099
Bon Jovi - Till We Ain't Strangers Anymore (Album Version),rock,3,1.0,160.29279,-0.2937879,0.9205558
Bon Jovi - Wildflower,rock,3,1.0,166.0523,-0.39182797,1.2699785
Bone Thugs-N-Harmony - 2 Glocks,gangster rap,0,0.9999543,131.5885,5.906195,-1.4495293
Bone Thugs-N-Harmony - Murder One,gangster rap,3,1.0,152.22021,1.3499607,-0.14706264
Bone Thugs-N-Harmony - Never Forget Me (Album Version Explicit),gangster rap,3,0.9944763,152.75618,1.5709878,0.7982499
Bone Thugs-N-Harmony - Servin' Tha Fiends,gangster rap,3,0.9994508,150.29118,3.8276389,-1.067948
Bongzilla - 666lb. Bongsession,stoner metal,3,1.0,155.7637,-1.8768328,0.32765856
Bongzilla - Cutdown,stoner metal,3,1.0,169.39288,-1.7762793,1.7396137
Bongzilla - Stone a Pig,stoner metal,3,1.0,159.58093,-0.99924386,1.7294182
Bongzilla - Witch Weed (Live),stoner metal,3,1.0,161.773,-0.31079504,1.4383736
Bonham - Bing,hard rock,3,1.0,165.34457,0.0367889,2.938373
Bonham - Holding on Forever,hard rock,3,1.0,167.46947,-1.2726988,2.497358
Bonita - Dans un grand mur,reggaeton,3,1.0,165.40399,0.32205933,0.82774174
Bonita - La maison où j'ai grandi,reggaeton,3,0.9982468,153.56609,-0.108957686,0.38011423
Bonita - Sans ton amour,reggaeton,3,1.0,161.498,0.17917687,0.014857124
Bonsugi - Je me sens libre,tech house,0,0.95783895,150.76494,2.1816003,-1.6400738
Boogie Pimps - Get Back Down,hard house,3,0.9948254,142.0589,2.9923985,-2.0997899
Boogie Pimps - Then Came You (Radio Edit),hard house,3,1.0,168.20154,1.5979537,0.21267109
Boomdabash - Rude Boy Swag,roots reggae,0,1.0,138.83408,4.3001375,-0.292705
Boondox - Nothing to Lose,rap rock,3,1.0,154.13876,2.8082135,-0.093920276
Boosie Badazz - Baby Momma (Chopped & Screwed),gangster rap,3,0.9844664,142.93587,3.2143133,-2.2364538
Boota Pardesi and DJ Sheikh - Dama Dam Mast Kalander,bhangra,3,1.0,162.00383,1.6995572,1.1349788
Boots Randolph - Lonely Street,instrumental rock,3,1.0,162.75162,-2.0795863,0.29978457
Boozoo Bajou - Deckards Harp,tech house,3,1.0,151.6452,-3.7478168,0.089456595
Borialis - Can't Break This Man (Edited),rap rock,3,1.0,164.89131,1.2168292,1.7589012
Borialis - Hourglass (Edited),rap rock,3,1.0,154.90677,0.11456824,1.5985577
Bottom of the Hudson - Eagle Eye,free music,0,1.0,140.16193,2.0453339,0.032752793
Bottom of the Hudson - One of Us,free music,3,0.96246856,150.08662,0.85625887,-0.95841426
Bounty Killer - Cellular Phone,dancehall,3,0.9998779,151.25047,2.551687,-1.2741535
Bounty Killer - Coppershot,dancehall,3,0.95770746,140.97205,4.666754,-0.97571045
Bounty Killer - Gun Thirsty,dancehall,3,1.0,157.61526,4.1884904,-1.1696359
Bow Wow Wow - C30 C60 C90 Go,dance rock,3,1.0,158.13373,1.41308,-0.3391532
Bow Wow Wow - I Want Candy,dance rock,3,1.0,161.06323,0.21529162,0.11056017
Bow Wow Wow - Sexy Eiffel Towers,dance rock,3,1.0,160.30072,0.39112854,0.013072106
Boyz II Men - In My Life,new jack swing,3,1.0,166.49985,-0.4102055,0.26573718
Boyz II Men - Motownphilly,new jack swing,3,1.0,155.4546,3.0172029,1.1124655
Boyz II Men - On Bended Knee,new jack swing,3,1.0,165.76334,0.32174042,1.588421
Brainchoke - 1st World Hypocrisy,grindcore,3,1.0,168.58173,-0.73370314,2.8798723
Brainchoke - Crystal Clear,grindcore,3,1.0,168.33789,-0.5744536,2.835778
Brainchoke - Untitled,grindcore,3,1.0,139.92293,-3.6835592,-0.6087133
Brand X - Collapsar,jazz fusion,3,1.0,142.19162,-3.911392,-1.3172961
Brand X - Hate Zone,jazz fusion,3,1.0,162.06366,-0.33629623,2.4503438
Branford Marsalis - Hear Me Talking to You (Instrumental),classic female blues,3,1.0,157.88092,-2.0306666,-1.9829016
Brasilian Tropical Orchestra - Yesterday,bossa nova,3,1.0,162.28998,-0.93821406,0.8314273
Bravehearts - Sensations (Explicit Album Version),hip hop,0,1.0,144.63379,2.7381468,-0.90914196
Bravehearts - Situations (feat. Nas & Jully Black) (Clean Album Version),hip hop,0,1.0,145.40254,3.4942765,-0.4590248
Brazilian Tropical Orchestra - Baby,bossa nova,0,1.0,130.10034,-0.030176183,-2.539252
Brazilian Tropical Orchestra - Ho Capito Che Ti Amo,bossa nova,0,1.0,142.57222,-0.54256266,-1.8893244
Brazilian Tropical Orchestra - If You Leave Me Now,bossa nova,2,0.9633943,135.48666,-2.141866,-1.5937111
Brazilian Tropical Orchestra - One Less Bell to Answer,bossa nova,3,1.0,158.6364,-1.8095764,0.9266586
Brazilian Tropical Orchestra - Swan Lake,bossa nova,0,1.0,136.44542,-1.24923,-0.9574183
Brenda Boykin - Be My Lover,nu jazz,3,1.0,155.98328,0.59777486,0.7488707
Brenda Lee - (If I'm Dreaming) Just Let Me Dream,ballad,3,1.0,169.82935,0.41582784,0.0778315
Brenda Lee - Ballin' the Jack,ballad,3,0.9999543,161.57063,0.61530656,0.4029173
Brenda Lee - Everybody Loves Me But You,ballad,3,1.0,161.2399,-2.2175555,-2.0406897
Brenda Lee - Having A Little Talk With Jesus,ballad,3,1.0,167.84737,-0.11916654,-0.33179927
Brent Lamb - All The Difference In The World,country gospel,3,1.0,170.43773,-0.2529246,-0.21277131
Brent Lamb - One About Heaven,country gospel,3,1.0,168.76059,1.1139343,0.89066166
Brian Auger's Oblivion Express - Voices Of Other Times,jazz fusion,3,1.0,161.8352,0.07063481,-1.4298488
Brian D'Arcy James - At the Fountain (Reprise),show tunes,3,1.0,161.34119,-2.1051588,0.35068864
Brian Dullaghan - And I Love You So,irish folk,3,1.0,164.31339,-1.6944134,-0.38961422
Brian Dullaghan - Can't Help Falling In Love,irish folk,3,0.99998474,152.24614,1.4701585,-1.7865034
Brian Dullaghan - The Wedding,irish folk,3,1.0,166.17105,-1.8201302,0.16443105
Brian Eno - Baby's On Fire (Remastered 2004),electronic,3,0.9999695,151.5845,2.2004142,1.1007847
Brian Eno - The Jezebel Spirit (2006 Digital Remaster),art rock,3,0.99922216,143.57837,1.7836659,-1.2973123
Brian Free & Assurance - The Coming Of The King,southern gospel,3,1.0,168.82953,0.59704715,0.4412721
Brian Free - Emmaus,southern gospel,3,1.0,164.83353,-0.89905703,-1.2499168
Brian Keane - Dark Flashes,world beat,3,1.0,160.34586,-4.658657,-0.32742816
Brian Keane - Time Is _ Time Was,world beat,3,1.0,160.35689,-3.4114654,0.9019144
Brian Littrell - Wish,ccm,4,1.0,137.60179,-0.21563973,0.6201939
Brian Tyler - Festival Of Holi,soundtrack,3,1.0,160.75046,0.4043016,-0.7686855
Brian Tyler - I Dream Of Chi Chi,soundtrack,3,0.9991763,147.0243,-2.0975423,-2.2252536
Brice Kapel - Aloha (Album Version),chanson francaise,3,1.0,159.7888,2.6874983,-0.58788073
Brice Kapel - Lo (Album Version),chanson francaise,3,1.0,163.28564,0.1952845,0.784326
Brigada Victor Jara - Parto em Terras Distantes,free improvisation,3,1.0,160.22263,-1.8798138,-1.5133854
Britney Spears - 3,dance pop,4,1.0,143.44017,1.9670221,0.504813
Britney Spears - Boys (feat. Pharrell Williams) (Co-Ed Remix),dance pop,1,1.0,144.63367,4.6540613,-0.024400575
Britney Spears - Break the Ice,dance pop,4,1.0,141.90005,1.898582,1.9697239
Britney Spears - Can't Make You Love Me,dance pop,1,1.0,149.7958,3.0231843,1.1018627
Britney Spears - Don't Go Knockin' on My Door,dance pop,1,1.0,148.79329,3.5312233,0.17693193
Britney Spears - Everytime,dance pop,1,1.0,136.15567,0.2714504,-1.0523074
Britney Spears - My Prerogative,dance pop,4,1.0,143.62042,0.98594594,0.76666737
Britney Spears - Oops!...I Did It Again,dance pop,4,1.0,142.77356,1.889733,0.5415942
Britney Spears - Someday (I Will Understand) (2009 Remaster),dance pop,4,1.0,128.92288,-1.0824136,-1.5048065
Britt Nicole - Good Day,ccm,4,1.0,140.07251,1.7842622,1.497227
Britt Nicole - Hanging On (Medium Key Performance Track Without Background Vocals),ccm,4,1.0,141.7951,0.5338473,-0.018219559
Britt Nicole - Set The World On Fire,ccm,4,1.0,147.83562,1.1813552,0.43224365
Broadcast - Downstream,dream pop,3,1.0,159.76447,-2.45441,-2.2829115
Broadcast - Guardian Angel,dream pop,3,1.0,157.65942,0.2516555,0.9428769
Broadcast - Michael A Grammar,dream pop,3,1.0,162.95187,-1.2274197,-0.18905354
Broadcast - One Hour Empire,dream pop,3,1.0,161.08525,0.31747139,2.205223
Broadcast - Where Youth and Laughter Go,dream pop,3,1.0,163.37411,-0.93492764,0.17821081
Brokencyde - Freaxxx,pop rap,0,0.9971812,134.1155,2.4088616,-0.38809857
Brokencyde - Schitzo,pop rap,3,1.0,161.00154,3.0339756,1.3652658
Brooke Valentine - American Girl,crunk,3,1.0,152.19012,1.8773602,0.348218
Brooke White - Hold Up My Heart,pop rock,4,0.99900866,148.56653,-0.80086124,0.594366
Brownie McGhee - I Woke up One Morning and I Could Hardly See,harmonica blues,3,1.0,154.2432,-1.3246766,-1.4506004
Brownie McGhee _ Sonny Terry - Tell Me Baby,piedmont blues,3,1.0,153.89699,-1.9372811,-0.96734583
Bruce BecVar - Razamataz,meditation,3,0.9999695,148.16315,0.90972954,-1.437515
Bruce BecVar - Your Heart Can Sing,meditation,3,1.0,165.15991,-0.75897336,-0.37791932
Bruce Carroll - The Room,ccm,1,1.0,145.8278,0.52143383,-0.6313623
Bruce Katz Band - Just an Expression,piano blues,3,1.0,160.54478,1.1268681,-1.0039198
Bruce Robison - Trouble,alternative country,3,1.0,152.32758,-1.7590265,-1.7857174
Bruce Rowland - Mountain Theme,easy listening,3,1.0,154.60547,-4.0946374,-0.36669967
Bruce Rowland - Rosemary Recalls,easy listening,2,1.0,116.02739,-3.081316,-1.0614977
Bruce Springsteen - Rosalita (Come Out Tonight),heartland rock,3,1.0,172.53741,-0.34515327,1.6823033
Bruce Springsteen - Working on the Highway (Nebraska Outtakes),heartland rock,3,1.0,162.34793,0.6236182,0.61785364
Bruford - Forever Until Sunday,jazz fusion,3,1.0,156.27426,-4.468147,-0.79808605
Bruisers - 2 Fists Full Of Nothing,oi,3,1.0,166.71161,-0.17475334,2.5277998
Bruisers - Police Opression,oi,3,1.0,167.54558,-0.5246782,2.1172311
Bryan Ferry - Goin' Down,glam rock,3,1.0,167.35501,0.14737836,-0.823469
Bryan Ferry - Ja Nun Hons Pris,glam rock,3,1.0,150.3219,-2.061096,-0.7753878
Bröderna Djup - Ovanlär,folk,3,1.0,161.98784,0.36503786,1.0865862
Bröderna Djup - Råskevärsrock,folk,3,1.0,169.53696,0.12655163,0.5340288
BT - Every Other Way (Adam Ellis Remix),electronica,3,0.96700263,141.95103,1.4720391,0.71021
BT - Henry's Death,electronica,3,0.999939,147.95381,0.80634207,0.12973306
BT - Korean Waterhole,electronica,3,1.0,161.26352,-4.438056,-0.09563173
Buckwheat Zydeco - Hot Tamale Baby,zydeco,3,1.0,171.96959,-1.040172,1.5843382
Buddy Jewell - Sweet Southern Comfort,bluegrass,3,1.0,167.48218,-0.6197494,0.7012408
Buddy Johnson - Did You See Jackie Robinson Hit That Ball_,jump blues,3,1.0,166.21826,-0.3894551,0.11605662
Buddy Miles - Don't Keep Me Wondering,blues-rock,4,1.0,153.20523,-0.5692534,1.3772079
Buddy Miles - Midnight Rider,blues-rock,4,1.0,152.59354,-0.6432304,0.9153266
Buddy Miles - Santa Claus Is Coming To Town,blues-rock,4,1.0,147.20996,0.8362604,2.0973537
Buffalo Nickel Band - Palm Springs Jump,country rock,4,1.0,141.99554,-1.8083361,-1.6984944
Buju Banton - Destiny,roots reggae,0,1.0,149.51576,1.4472432,-0.61922866
Buju Banton - Excerpt Of A Speech By Marcus Mosiah Garvey,roots reggae,2,1.0,121.22,-2.9079027,-1.7193168
Buju Banton - Searching,roots reggae,0,0.99977106,140.77856,1.7751489,-1.5870224
Bukka White - Aberdeen mississippi blues,delta blues,3,1.0,162.2661,-3.0439837,-0.73918915
Bukka White - Fixin' to die blues,delta blues,3,1.0,159.50201,-3.3511763,-0.47408885
Bukka White - My Baby,delta blues,3,1.0,163.97266,-0.3861278,-0.9340183
Bukka White - Single Man Blues,delta blues,3,1.0,164.92543,-1.4876006,-1.678466
Bukka White - Sleepy Man Blues,delta blues,3,1.0,168.7216,-3.6458807,-1.0913004
Bukue One - Ready Now,jungle music,3,1.0,159.41112,3.5465088,-1.0949233
Bukue One - Up Close and Personal,jungle music,3,0.99998474,153.27983,2.7726834,-0.010831886
Bullet For My Valentine - 4 Words (To Choke Upon),alternative metal,3,1.0,167.10968,-0.5094161,3.0676594
Bullet For My Valentine - Suffocating Under Words Of Sorrow (What Can I Do),alternative metal,3,1.0,164.58302,0.48823896,3.1281404
Bullethole - Now I Know (NORMAL),thrash core,3,1.0,166.8964,-0.15047103,2.6587136
Bumblefoot - Abnormal (Acoustic),alternative metal,3,1.0,168.93353,-0.11387742,0.13215037
Bumblefoot - Piranha,alternative metal,3,1.0,168.15933,-0.7084046,1.6455783
Burning Spear - Civilized Reggae,roots reggae,0,1.0,147.97154,1.7180663,-1.2518821
Burning Spear - It's A Long Way Around,roots reggae,0,0.9999695,145.09033,1.0690079,-2.215926
Burning Spear - The Invasion (Aka Black Wa Da Da),roots reggae,0,0.9198666,143.69394,2.2430117,-1.5216296
Burning Spear - Tumble Down,roots reggae,0,0.99890196,148.10837,2.3368764,-1.6571816
Burt Bacharach - Are You There (With Another Girl),brill building pop,3,1.0,167.57718,-1.2148942,-0.47907114
Burt Bacharach - I Still Remember,brill building pop,3,1.0,163.1847,0.47270492,-1.4467022
Burt Bacharach - Love Theme (The Falling In Love) (Isn’t She Great_Soundtrack Version),brill building pop,3,1.0,158.53815,-4.46514,-0.7376393
Bury Your Dead - Closed Eyes,hardcore punk,3,1.0,154.3932,-0.763306,2.2514293
Busdriver - (Bloody Paw on the) Kill Floor,alternative hip hop,3,1.0,162.82231,2.6519794,-0.5644641
Busdriver - Beauty Supply And Demand,alternative hip hop,3,1.0,158.92499,1.1623987,1.3149949
Busdriver - Ellen Disingenuous,alternative hip hop,3,0.86692137,146.81917,4.105651,1.0346632
Busdriver - Map Your Psyche,alternative hip hop,3,1.0,164.55518,2.0588264,-1.1744854
Busdriver - Sun Shower (Single Version),alternative hip hop,3,0.99943554,153.30513,0.8070797,-1.2944678
Busdriver - Unemployed Black Astronaut,alternative hip hop,3,1.0,162.79788,2.1827643,-0.41331357
Busdriver - Unsafe Sextet_Gilded Hearts of Booklovers,alternative hip hop,3,1.0,157.17604,1.8036157,0.7388317
Busta Rhymes - Genesis,hip hop,0,1.0,142.70291,3.5229523,-1.0835488
Busta Rhymes - Taste It,hip hop,0,1.0,144.27425,5.5696826,-0.99340504
Busta Rhymes - We Got What You Want,hip hop,0,1.0,146.65692,3.5890436,-0.4234659
Busta Rhymes - We Made It (feat. Linkin Park) (Instrumental),hip hop,0,1.0,140.682,0.864456,0.7501679
Butthole Surfers - 22 Going On 23,noise rock,3,1.0,161.0437,-1.7909216,0.6557262
Butthole Surfers - All Day,noise rock,3,1.0,162.57468,-0.8519161,3.050321
Butthole Surfers - Tongue,noise rock,3,1.0,154.60152,0.0073286016,-0.10483987
Butthole Surfers - Ulcer Breakout,noise rock,3,1.0,166.53712,-0.7536799,2.021529
Butthole Surfers - Wichita Cathedral (Live),noise rock,3,1.0,162.54109,-0.57774407,1.8045509
Buzzcocks - Get On Our Own,new wave,3,1.0,163.94101,-1.097697,1.2716695
Buzzcocks - No Reply (Demo),new wave,3,1.0,167.13177,-0.0070951213,1.9054587
Buzzcocks - Strange Thing (2001 Remastered Version),new wave,3,1.0,163.19247,-0.23417652,2.8538632
Buzzov_en - I Don't Like You,sludge metal,3,1.0,156.0808,-2.0536587,1.9477981
Byron Cage - In The Midst (feat. Tye Tribbett),religious music,3,1.0,160.47774,2.63743,1.2266141
Byther Smith - I Wish My Mother Was Here,chicago blues,3,1.0,167.00665,0.20777218,0.11183268
Byther Smith - So Unhappy,chicago blues,3,1.0,163.74393,-0.5870448,-1.3090055
Byzantine - Absolute Horizon,groove metal,3,1.0,165.23401,-0.3416703,2.6764853
Béla Fleck - Punchdrunk,bluegrass,3,1.0,163.3081,-0.67919654,-0.20792624
Bénabar - Christelle est une ordure,chanson,4,1.0,134.84663,1.3771756,-2.4574594
Bénabar - La pierrade,chanson,4,1.0,150.66013,-0.64812374,-0.6252988
Bénabar - Le zoo de Vincennes (Live),chanson,1,1.0,148.69926,1.1245726,-0.07815695
Bénabar - Porcelaine,chanson,4,1.0,148.25989,0.7160537,0.124785654
Bénabar - Tu peux compter sur moi,chanson,1,1.0,152.13354,0.38735223,-0.34250215
Bézu - Frou-frou,chanson,4,1.0,144.27567,2.211773,1.277165
Bézu - La bite du plombier,chanson,4,1.0,147.07047,0.6134723,1.7207012
Bézu - La java bleue,chanson,4,1.0,145.44662,2.2720492,1.2605898
Bézu - Le cha cha des gorilles,chanson,4,1.0,146.45238,0.9810836,0.074741326
Bézu - Le clair de lune à Maubeuge,chanson,1,1.0,145.66786,1.425656,0.94678897
Bézu - Le Tortillard,chanson,4,1.0,143.31078,1.3983096,1.762136
Bézu - Viens boire un petit coup à la maison,chanson,4,1.0,123.66446,1.2934594,0.32956514
Bülent Ceylan - Bülent & Mompfreed_ Mompfreedonium,cabaret,3,1.0,151.29271,1.5602703,-1.5126674
"Bülent Ceylan - Harald_ Trinkhalleluja, Teil 2",cabaret,3,0.9998474,144.92737,2.6834562,-0.22208619
C-Side & Petit Mal - Mudhump,country rock,2,1.0,128.70085,0.50551885,-1.6190282
C.C. Adcock - Loaded Gun,zydeco,3,1.0,166.65526,-0.042308874,0.41112742
C.C. Adcock - Love n' Gold,zydeco,3,1.0,166.78694,0.98400164,0.67171735
C.J. Chenier - Banana Man,zydeco,3,1.0,159.03677,-1.2403809,-0.30924097
C.L. Smooth - Smoke In The Air (A Cappella),hip hop,0,1.0,137.45505,5.2493653,-0.702066
Caballo Dorado - Me vuelves loco,chanson,4,1.0,143.81366,1.254635,0.87728715
Cabas - Como nuestro amor no hay dos,vallenato,3,1.0,158.48212,1.2873367,0.38257575
Cabas - Likua,vallenato,3,1.0,155.15936,4.3715296,-1.0473634
Cabas - Machuca,vallenato,3,1.0,156.67862,-0.41367447,0.21723855
Cabin Crew - Can't Stop (Mind Electric Remix),hard house,3,1.0,156.95523,2.1291277,1.273636
Cache Cache - Only Do for Love (LeftGuster Remix),big beat,0,1.0,143.07677,5.2778783,-2.69647
"Cactus - Rockout, Whatever You Feel Like",blues-rock,4,1.0,154.62537,-0.019987807,1.147833
Cadacross - Bring Out Your Dead,folk metal,3,1.0,158.8831,0.16483113,2.6169126
"Cadet - Father, I Adore You_More Precious Than Silver (Medley)",christian rock,3,1.0,167.24759,-1.4980376,1.3674086
Café Quijano - En algún rincón,pop rock,0,0.76745224,143.81392,2.8091323,-0.24771662
Café Quijano - En mis besos,pop rock,0,1.0,144.03477,-0.32620838,-0.7968242
Café Quijano - Hablando a un cristal,pop rock,0,0.6640733,146.26758,2.1682494,1.1965743
Café Quijano - Poesía de amor,pop rock,0,1.0,149.58022,1.3483855,0.742757
Cain Culto - CUTTING EDGE,grunge,3,1.0,152.0238,1.7596855,-1.5145081
Cake - Alpha Beta Parking Lot,post-grunge,4,0.94571257,145.46011,1.3562026,-0.19785179
Cake - Arco Arena (Instrumental),post-grunge,0,1.0,132.88474,1.5616683,-0.846419
Cal Tjader - Along Comes Mary,latin jazz,4,1.0,137.17485,-1.0655025,-0.66494524
Cal Tjader - Anyone Who Had a Heart,latin jazz,4,1.0,141.84982,-2.994766,-1.3074027
Cal Tjader - Manuel's Mambo,latin jazz,4,1.0,135.07257,-1.7977611,-1.6511222
Caleb McLeod - This Is Hell,post-hardcore,3,1.0,165.51285,0.34859663,1.5091163
CALi - C'est toujours le matin,dance pop,1,1.0,148.4046,-0.50529,-0.026736107
CALi - Dolorosa (Live),dance pop,1,1.0,149.45721,1.4000721,0.47736523
CALi - Il y a une question (Live),dance pop,4,1.0,146.89499,0.55305433,0.68160546
CALi - Le Droit des pères (Live électrique),dance pop,1,1.0,148.84616,0.9118066,-0.6443292
CALi - Pour Jane (Live acoustique),dance pop,4,1.0,142.73792,-0.7482445,-0.80740386
CALi - Résistance,dance pop,4,1.0,144.20798,0.5162377,-0.11944256
Cali - Un nuovo giorno,dance pop,4,1.0,139.8859,0.6092532,1.1687477
California Oranges - Feel Better,twee pop,3,1.0,160.05026,0.61154145,2.4491103
California Oranges - Travel Writer,twee pop,3,1.0,164.6814,0.8602726,1.0404102
CalimeroBeats - Sunday Love,deep house,3,0.9998931,141.87247,3.0281687,-2.4404411
Call To Preserve - Hindsight,straight edge,3,0.99977106,146.61511,0.52808756,2.25304
Call To Preserve - Hope For The Fallen,straight edge,3,1.0,169.61707,-0.10762966,2.9151335
